,householdID,est_inc_USD,est_netw_USD,hhold_field,hhold_oldest,hhold_pax,hhold_youngest,homeState,hhold_car,stream_subs,primary
0,1,113831.0,418044.0,Finance,45,4,12,Maine,LuxurySedan,5,entertain
1,2,66441.0,454233.0,Tech,44,4,11,Maine,LuxurySedan,1,consume
2,3,160024.0,602594.0,Finance,38,2,6,Vermont,LuxurySedan,2,entertain
3,4,82985.0,473262.0,Govt,39,3,8,Massachusetts,LuxurySedan,4,consume
4,5,109369.0,527138.0,Finance,43,5,5,Massachusetts,SUV,3,entertain
5,6,148511.0,529589.0,Tech,43,3,13,New York,SUV,3,entertain
6,7,115540.0,468408.0,Education,40,7,10,US_Other,LuxurySedan,5,entertain
7,8,146359.0,539293.0,Finance,48,4,14,Maine,SUV,4,consume
8,9,66810.0,495405.0,Govt,49,3,11,US_Other,SUV,5,consume
9,10,56540.0,402658.0,Govt,37,3,10,Quebec,LuxurySedan,6,entertain
10,11,59735.0,390469.0,Education,51,2,16,Vermont,Sedan,5,entertain
11,12,87005.0,441571.0,Education,43,2,17,Maine,LuxurySedan,1,entertain
12,13,86713.0,502743.0,Education,48,4,12,Vermont,SUV,6,entertain
13,14,67443.0,365130.0,Services,47,4,13,New Hampshire,LuxurySedan,4,entertain
14,15,159780.0,606164.0,Finance,43,5,10,US_Other,LuxurySedan,6,entertain
15,16,116217.0,462786.0,Govt,41,6,11,Quebec,Pickup,4,entertain
16,17,119955.0,413266.0,Manufacturing,54,1,54,Maine,LuxurySedan,4,consume
17,18,126468.0,533048.0,Finance,51,3,12,Quebec,Pickup,6,consume
18,19,124864.0,584602.0,Education,43,4,14,Massachusetts,Sedan,7,entertain
19,20,108026.0,568825.0,Services,42,3,7,Maine,Compact/Hybrid,5,entertain
20,21,81076.0,473349.0,Services,41,4,16,Maine,Pickup,5,entertain
21,22,127363.0,506055.0,Finance,46,6,13,Maine,Sedan,6,consume
22,23,59245.0,381931.0,Govt,48,2,8,New York,SUV,2,consume
23,24,67741.0,337417.0,Tech,47,6,9,Maine,Sedan,6,entertain
24,25,126972.0,392180.0,Other,47,1,47,Maine,LuxurySedan,4,entertain
25,26,43021.0,349514.0,Govt,44,4,12,Maine,SUV,5,consume
26,27,116628.0,457159.0,Tech,51,5,21,New Hampshire,SUV,3,consume
27,28,138169.0,597751.0,Govt,42,4,15,Maine,Compact/Hybrid,2,entertain
28,29,93995.0,416789.0,Services,47,3,23,Quebec,SUV,4,entertain
29,30,122449.0,429560.0,Finance,46,4,18,New Hampshire,SUV,3,consume
30,31,80703.0,395121.0,Finance,46,3,10,Maine,SUV,3,consume
31,32,126941.0,470458.0,Finance,49,6,18,US_Other,SUV,7,consume
32,33,76955.0,347323.0,Education,51,4,18,New York,Sedan,5,entertain
33,34,81661.0,428421.0,Tech,41,5,10,Maine,SUV,5,entertain
34,35,120452.0,387177.0,Tech,40,2,22,Maine,SUV,6,entertain
35,36,65835.0,394803.0,Services,50,4,13,Vermont,Pickup,3,entertain
36,37,91706.0,356000.0,Finance,36,3,16,Maine,LuxurySedan,2,consume
37,38,70776.0,473512.0,Education,46,2,13,Vermont,Pickup,4,entertain
38,39,112933.0,515559.0,Finance,46,4,15,Maine,LuxurySedan,2,consume
39,40,115649.0,443788.0,Finance,44,7,7,Vermont,Pickup,1,entertain
40,41,132483.0,429296.0,Tech,54,2,11,Massachusetts,SUV,3,consume
41,42,90423.0,460305.0,Govt,50,3,13,Maine,Compact/Hybrid,4,consume
42,43,123489.0,513830.0,Tech,39,3,2,Connecticut,SUV,6,entertain
43,44,83444.0,488210.0,Education,51,7,12,Maine,SUV,3,consume
44,45,127656.0,522318.0,Finance,45,4,12,Vermont,Sedan,2,consume
45,46,127343.0,484326.0,Finance,51,2,14,Ontario,SUV,3,entertain
46,47,116139.0,465024.0,Finance,41,6,9,Maine,Sedan,3,consume
47,48,72195.0,417710.0,Finance,55,6,12,New Hampshire,SUV,3,entertain
48,49,87520.0,420813.0,Other,47,4,13,Quebec,Sedan,5,entertain
49,50,94310.0,623058.0,Services,48,3,14,New Hampshire,LuxurySedan,4,entertain
50,51,121400.0,514094.0,Tech,51,2,13,Maine,Sedan,0,consume
51,52,71652.0,390318.0,Tech,48,3,14,Connecticut,SUV,4,entertain
52,53,127582.0,522192.0,Finance,52,5,11,New York,LuxurySedan,3,consume
